S_INFO_WINDCODE,S_INFO_CODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE
000756.SZ,000756,新华制药,19970806,
000757.SZ,000757,浩物股份,19970627,
000758.SZ,000758,中色股份,19970416,
000759.SZ,000759,中百集团,19970519,
000760.SZ,000760,斯太尔,19970627,
000761.SZ,000761,本钢板材,19980115,
000762.SZ,000762,西藏矿业,19970708,
000763.SZ,000763,锦州石化(退市),19970915,20060104
000765.SZ,000765,*ST华信(退市),19971103,20050704
000766.SZ,000766,通化金马,19970430,
000767.SZ,000767,漳泽电力,19970609,
000768.SZ,000768,中航飞机,19970626,
000769.SZ,000769,*ST大菲(退市),19970530,20050921
000776.SZ,000776,广发证券,19970611,
000777.SZ,000777,中核科技,19970710,
000778.SZ,000778,新兴铸管,19970606,
000779.SZ,000779,三毛派神,19970528,
000780.SZ,000780,平庄能源,19970606,
000782.SZ,000782,美达股份,19970619,
000783.SZ,000783,长江证券,19970731,
000785.SZ,000785,武汉中商,19970711,
000786.SZ,000786,北新建材,19970606,
000787.SZ,000787,*ST创智(退市),19970626,20130208
000788.SZ,000788,北大医药,19970616,
000789.SZ,000789,万年青,19970923,
000790.SZ,000790,泰合健康,19980327,
000791.SZ,000791,甘肃电投,19971014,
000792.SZ,000792,盐湖股份,19970904,
000793.SZ,000793,华闻传媒,19970729,
000795.SZ,000795,英洛华,19970808,
000796.SZ,000796,凯撒旅游,19970703,
000797.SZ,000797,中国武夷,19970715,
000798.SZ,000798,中水渔业,19980212,
000799.SZ,000799,酒鬼酒,19970718,
000800.SZ,000800,一汽轿车,19970618,
000801.SZ,000801,四川九洲,19980506,
000802.SZ,000802,北京文化,19980108,
000803.SZ,000803,*ST金宇,19980303,
000805.SZ,000805,*ST炎黄(退市),19980529,20130327
000806.SZ,000806,银河生物,19980416,
000807.SZ,000807,云铝股份,19980408,
000809.SZ,000809,铁岭新城,19980616,
000810.SZ,000810,创维数字,19980602,
000811.SZ,000811,烟台冰轮,19980528,
000812.SZ,000812,陕西金叶,19980623,
000813.SZ,000813,德展健康,19980519,
000815.SZ,000815,美利云,19980609,
000816.SZ,000816,智慧农业,19970818,
000817.SZ,000817,辽河油田(退市),19980528,20060104
000818.SZ,000818,方大化工,19971017,
000819.SZ,000819,岳阳兴长,19970625,
000820.SZ,000820,神雾节能,19980630,
000821.SZ,000821,京山轻机,19980626,
000822.SZ,000822,山东海化,19980703,
000823.SZ,000823,超声电子,19971008,
000825.SZ,000825,太钢不锈,19981021,
000826.SZ,000826,启迪桑德,19980225,
000827.SZ,000827,*ST长兴(退市),19981016,20050921
000828.SZ,000828,东莞控股,19970617,
000829.SZ,000829,天音控股,19971202,
000830.SZ,000830,鲁西化工,19980807,
000831.SZ,000831,*ST五稀,19980911,
000832.SZ,000832,*ST龙涤(退市),19980825,20060629
000833.SZ,000833,贵糖股份,19981111,
000835.SZ,000835,长城动漫,19990625,
000836.SZ,000836,鑫茂科技,19970929,
000837.SZ,000837,秦川机床,19980928,
000838.SZ,000838,财信发展,19970626,
000839.SZ,000839,中信国安,19971031,
000848.SZ,000848,承德露露,19971113,
000850.SZ,000850,华茂股份,19981007,
000851.SZ,000851,高鸿股份,19980609,
000852.SZ,000852,石化机械,19981126,
000856.SZ,000856,*ST冀装,19980813,
000858.SZ,000858,五粮液,19980427,
000859.SZ,000859,国风塑业,19981119,
000860.SZ,000860,顺鑫农业,19981104,
000861.SZ,000861,海印股份,19981028,
000862.SZ,000862,银星能源,19980915,
000863.SZ,000863,三湘印象,19970925,
000866.SZ,000866,扬子石化(退市),19980512,20060421
000868.SZ,000868,安凯客车,19970725,
000869.SZ,000869,张裕A,20001026,
000875.SZ,000875,吉电股份,20020926,
000876.SZ,000876,新希望,19980311,
000877.SZ,000877,天山股份,19990107,
000878.SZ,000878,云南铜业,19980602,
000880.SZ,000880,潍柴重机,19980402,
000881.SZ,000881,中广核技,19980902,
000882.SZ,000882,华联股份,19980616,
000883.SZ,000883,湖北能源,19980519,
000885.SZ,000885,同力水泥,19990319,
000886.SZ,000886,海南高速,19980123,
000887.SZ,000887,中鼎股份,19981203,
000888.SZ,000888,峨眉山A,19971021,
000889.SZ,000889,茂业通信,19971218,
000890.SZ,000890,法尔胜,19990119,
000892.SZ,000892,欢瑞世纪,19990115,
000893.SZ,000893,东凌国际,19981224,
000895.SZ,000895,双汇发展,19981210,
000897.SZ,000897,津滨发展,19990422,
000898.SZ,000898,鞍钢股份,19971225,
000899.SZ,000899,赣能股份,19971126,
000900.SZ,000900,现代投资,19990128,
000901.SZ,000901,航天科技,19990401,
000902.SZ,000902,新洋丰,19990408,
000903.SZ,000903,云内动力,19990415,
000905.SZ,000905,厦门港务,19990429,
000906.SZ,000906,浙商中拓,19990707,
000908.SZ,000908,景峰医药,19990203,
000909.SZ,000909,数源科技,19990507,
000910.SZ,000910,大亚圣象,19990630,
000911.SZ,000911,南宁糖业,19990527,
000912.SZ,000912,泸天化,19990603,
000913.SZ,000913,*ST钱江,19990514,
000915.SZ,000915,山大华特,19990609,
000916.SZ,000916,华北高速,19990927,
000917.SZ,000917,电广传媒,19990325,
000918.SZ,000918,嘉凯城,19990720,
000919.SZ,000919,金陵药业,19991118,
000920.SZ,000920,南方汇通,19990616,
000921.SZ,000921,海信科龙,19990713,
000922.SZ,000922,*ST佳电,19990618,
000923.SZ,000923,河北宣工,19990714,
000925.SZ,000925,众合科技,19990611,
000926.SZ,000926,福星股份,19990618,
000927.SZ,000927,一汽夏利,19990727,
000928.SZ,000928,中钢国际,19990312,
000929.SZ,000929,兰州黄河,19990623,
000930.SZ,000930,中粮生化,19990712,
000931.SZ,000931,中关村,19990712,
000932.SZ,000932,华菱钢铁,19990803,
000933.SZ,000933,*ST神火,19990831,
000935.SZ,000935,四川双马,19990824,
000936.SZ,000936,华西股份,19990810,
000937.SZ,000937,冀中能源,19990909,
000938.SZ,000938,紫光股份,19991104,
000939.SZ,000939,凯迪生态,19990923,
000948.SZ,000948,南天信息,19991014,
000949.SZ,000949,新乡化纤,19991021,
000950.SZ,000950,*ST建峰,19990916,
000951.SZ,000951,中国重汽,19991125,
000952.SZ,000952,广济药业,19991112,
000953.SZ,000953,*ST河化,19991202,
000955.SZ,000955,欣龙控股,19991209,
000956.SZ,000956,中原油气(退市),19991110,20060421
000957.SZ,000957,中通客车,20000113,
000958.SZ,000958,东方能源,19991223,
000959.SZ,000959,首钢股份,19991216,
000960.SZ,000960,锡业股份,20000221,
000961.SZ,000961,中南建设,20000301,
000962.SZ,000962,*ST东钽,20000120,
000963.SZ,000963,华东医药,20000127,
000965.SZ,000965,天保基建,20000406,
000966.SZ,000966,长源电力,20000316,
000967.SZ,000967,盈峰环境,20000330,
000968.SZ,000968,*ST煤气,20000622,
000969.SZ,000969,安泰科技,20000529,
000970.SZ,000970,中科三环,20000420,
000971.SZ,000971,高升控股,20000427,
000972.SZ,000972,中基健康,20000926,
000973.SZ,000973,佛塑科技,20000525,
000975.SZ,000975,银泰资源,20000608,
000976.SZ,000976,春晖股份,20000601,
000977.SZ,000977,浪潮信息,20000608,
000978.SZ,000978,桂林旅游,20000518,
000979.SZ,000979,中弘股份,20000616,
000980.SZ,000980,金马股份,20000616,
000981.SZ,000981,银亿股份,20000622,
000982.SZ,000982,中银绒业,20000706,
000983.SZ,000983,西山煤电,20000726,
000985.SZ,000985,大庆华科,20000726,
000987.SZ,000987,越秀金控,20000718,
000988.SZ,000988,华工科技,20000608,
000989.SZ,000989,九芝堂,20000628,
000990.SZ,000990,诚志股份,20000706,
000991.SZ,000991,通海高科(IPO终止),,
000993.SZ,000993,闽东电力,20000731,
000995.SZ,000995,*ST皇台,20000807,
000996.SZ,000996,中国中期,20000718,
000997.SZ,000997,新大陆,20000807,
000998.SZ,000998,隆平高科,20001211,
000999.SZ,000999,华润三九,20000309,
001696.SZ,001696,宗申动力,19970306,
001896.SZ,001896,豫能控股,19980122,
001979.SZ,001979,招商蛇口,20151230,
002001.SZ,002001,新和成,20040625,
002002.SZ,002002,鸿达兴业,20040625,
002003.SZ,002003,伟星股份,20040625,
002004.SZ,002004,华邦健康,20040625,
002005.SZ,002005,德豪润达,20040625,
002006.SZ,002006,精功科技,20040625,
002007.SZ,002007,华兰生物,20040625,
002008.SZ,002008,大族激光,20040625,
002009.SZ,002009,天奇股份,20040629,
002010.SZ,002010,传化智联,20040629,
002011.SZ,002011,盾安环境,20040705,
002012.SZ,002012,凯恩股份,20040705,
002013.SZ,002013,中航机电,20040705,
002014.SZ,002014,永新股份,20040708,
002015.SZ,002015,霞客环保,20040708,
002016.SZ,002016,世荣兆业,20040708,
002017.SZ,002017,东信和平,20040713,
002018.SZ,002018,华信国际,20040713,
002019.SZ,002019,亿帆医药,20040713,
002020.SZ,002020,京新药业,20040715,
002021.SZ,002021,中捷资源,20040715,
002022.SZ,002022,科华生物,20040721,
002023.SZ,002023,海特高新,20040721,
002024.SZ,002024,苏宁云商,20040721,
002025.SZ,002025,航天电器,20040726,
002026.SZ,002026,山东威达,20040727,
002027.SZ,002027,分众传媒,20040804,
002028.SZ,002028,思源电气,20040805,
002029.SZ,002029,七匹狼,20040806,
002030.SZ,002030,达安基因,20040809,
002031.SZ,002031,巨轮智能,20040816,
002032.SZ,002032,苏泊尔,20040817,
002033.SZ,002033,丽江旅游,20040825,
002034.SZ,002034,美欣达,20040826,
002035.SZ,002035,华帝股份,20040901,
002036.SZ,002036,联创电子,20040903,
002037.SZ,002037,久联发展,20040908,
002038.SZ,002038,双鹭药业,20040909,
002039.SZ,002039,黔源电力,20050303,
002040.SZ,002040,南京港,20050325,
002041.SZ,002041,登海种业,20050418,
002042.SZ,002042,华孚色纺,20050427,
002043.SZ,002043,兔宝宝,20050510,
002044.SZ,002044,美年健康,20050518,
002045.SZ,002045,国光电器,20050523,
002046.SZ,002046,轴研科技,20050526,
002047.SZ,002047,宝鹰股份,20050531,
002048.SZ,002048,宁波华翔,20050603,
002049.SZ,002049,紫光国芯,20050606,
002050.SZ,002050,三花智控,20050607,
002051.SZ,002051,中工国际,20060619,
002052.SZ,002052,同洲电子,20060627,
002053.SZ,002053,云南能投,20060627,
002054.SZ,002054,德美化工,20060725,
002055.SZ,002055,得润电子,20060725,
002056.SZ,002056,横店东磁,20060802,
002057.SZ,002057,中钢天源,20060802,
002058.SZ,002058,威尔泰,20060802,
002059.SZ,002059,云南旅游,20060810,
002060.SZ,002060,粤水电,20060810,
002061.SZ,002061,江山化工,20060816,
002062.SZ,002062,宏润建设,20060816,
002063.SZ,002063,远光软件,20060823,
002064.SZ,002064,华峰氨纶,20060823,
002065.SZ,002065,东华软件,20060823,
002066.SZ,002066,瑞泰科技,20060823,
002067.SZ,002067,景兴纸业,20060915,
002068.SZ,002068,黑猫股份,20060915,
002069.SZ,002069,*ST獐岛,20060928,
002070.SZ,002070,众和股份,20061012,
002071.SZ,002071,长城影视,20061012,
002072.SZ,002072,凯瑞德,20061018,
002073.SZ,002073,软控股份,20061018,
002074.SZ,002074,国轩高科,20061018,
002075.SZ,002075,沙钢股份,20061025,
002076.SZ,002076,雪莱特,20061025,
002077.SZ,002077,大港股份,20061116,
002078.SZ,002078,太阳纸业,20061116,
002079.SZ,002079,苏州固锝,20061116,
002080.SZ,002080,中材科技,20061120,
002081.SZ,002081,金螳螂,20061120,
002082.SZ,002082,栋梁新材,20061120,
002083.SZ,002083,孚日股份,20061124,
002084.SZ,002084,海鸥卫浴,20061124,
002085.SZ,002085,万丰奥威,20061128,
002086.SZ,002086,东方海洋,20061128,
002087.SZ,002087,新野纺织,20061130,
002088.SZ,002088,鲁阳节能,20061130,
002089.SZ,002089,新海宜,20061130,
002090.SZ,002090,金智科技,20061208,
002091.SZ,002091,江苏国泰,20061208,
002092.SZ,002092,中泰化学,20061208,
002093.SZ,002093,国脉科技,20061215,
002094.SZ,002094,青岛金王,20061215,
002095.SZ,002095,生意宝,20061215,
002096.SZ,002096,南岭民爆,20061222,
002097.SZ,002097,山河智能,20061222,
002098.SZ,002098,浔兴股份,20061222,
002099.SZ,002099,海翔药业,20061226,
002100.SZ,002100,天康生物,20061226,
002101.SZ,002101,广东鸿图,20061229,
002102.SZ,002102,冠福股份,20061229,
002103.SZ,002103,广博股份,20070110,
002104.SZ,002104,恒宝股份,20070110,
002105.SZ,002105,信隆健康,20070112,
002106.SZ,002106,莱宝高科,20070112,
002107.SZ,002107,沃华医药,20070124,
002108.SZ,002108,沧州明珠,20070124,
002109.SZ,002109,*ST兴化,20070126,
002110.SZ,002110,三钢闽光,20070126,
002111.SZ,002111,威海广泰,20070126,
002112.SZ,002112,三变科技,20070208,
002113.SZ,002113,天润数娱,20070208,
002114.SZ,002114,罗平锌电,20070215,
002115.SZ,002115,三维通信,20070215,
002116.SZ,002116,中国海诚,20070215,
002117.SZ,002117,东港股份,20070302,
002118.SZ,002118,紫鑫药业,20070302,
002119.SZ,002119,康强电子,20070302,
002120.SZ,002120,韵达股份,20070306,
002121.SZ,002121,科陆电子,20070306,
002122.SZ,002122,天马股份,20070328,
002123.SZ,002123,梦网荣信,20070328,
002124.SZ,002124,天邦股份,20070403,
002125.SZ,002125,湘潭电化,20070403,
002126.SZ,002126,银轮股份,20070418,
002127.SZ,002127,南极电商,20070418,
002128.SZ,002128,露天煤业,20070418,
002129.SZ,002129,中环股份,20070420,
002130.SZ,002130,沃尔核材,20070420,
002131.SZ,002131,利欧股份,20070427,
002132.SZ,002132,恒星科技,20070427,
002133.SZ,002133,广宇集团,20070427,
002134.SZ,002134,天津普林,20070516,
002135.SZ,002135,东南网架,20070530,
002136.SZ,002136,安纳达,20070530,
002137.SZ,002137,麦达数字,20070613,
002138.SZ,002138,顺络电子,20070613,
002139.SZ,002139,拓邦股份,20070629,
002140.SZ,002140,东华科技,20070712,
002141.SZ,002141,贤丰控股,20070720,
002142.SZ,002142,宁波银行,20070719,
002143.SZ,002143,印纪传媒,20070720,
002144.SZ,002144,宏达高科,20070803,
002145.SZ,002145,中核钛白,20070803,
002146.SZ,002146,荣盛发展,20070808,
002147.SZ,002147,新光圆成,20070808,
002148.SZ,002148,北纬通信,20070810,
002149.SZ,002149,西部材料,20070810,
002150.SZ,002150,通润装备,20070810,
002151.SZ,002151,北斗星通,20070813,
002152.SZ,002152,广电运通,20070813,
002153.SZ,002153,石基信息,20070813,
002154.SZ,002154,报喜鸟,20070816,
002155.SZ,002155,湖南黄金,20070816,
002156.SZ,002156,通富微电,20070816,
002157.SZ,002157,正邦科技,20070817,
002158.SZ,002158,汉钟精机,20070817,
002159.SZ,002159,三特索道,20070817,
002160.SZ,002160,常铝股份,20070821,
002161.SZ,002161,远望谷,20070821,
002162.SZ,002162,悦心健康,20070823,
002163.SZ,002163,中航三鑫,20070823,
002164.SZ,002164,宁波东力,20070823,
002165.SZ,002165,红宝丽,20070913,
002166.SZ,002166,莱茵生物,20070913,
002167.SZ,002167,东方锆业,20070913,
002168.SZ,002168,深圳惠程,20070919,
002169.SZ,002169,智光电气,20070919,
002170.SZ,002170,芭田股份,20070919,
002171.SZ,002171,楚江新材,20070921,
002172.SZ,002172,澳洋科技,20070921,
002173.SZ,002173,*ST创疗,20070925,
002174.SZ,002174,游族网络,20070925,
002175.SZ,002175,东方网络,20071012,
002176.SZ,002176,江特电机,20071012,
002177.SZ,002177,御银股份,20071101,
002178.SZ,002178,延华智能,20071101,
002179.SZ,002179,中航光电,20071101,
002180.SZ,002180,艾派克,20071113,
002181.SZ,002181,粤传媒,20071116,
002182.SZ,002182,云海金属,20071113,
002183.SZ,002183,怡亚通,20071113,
002184.SZ,002184,海得控制,20071116,
002185.SZ,002185,华天科技,20071120,
002186.SZ,002186,全聚德,20071120,
002187.SZ,002187,广百股份,20071122,
002188.SZ,002188,巴士在线,20071122,
002189.SZ,002189,利达光电,20071203,
002190.SZ,002190,成飞集成,20071203,
002191.SZ,002191,劲嘉股份,20071205,
002192.SZ,002192,融捷股份,20071205,
002193.SZ,002193,山东如意,20071207,
002194.SZ,002194,武汉凡谷,20071207,
002195.SZ,002195,二三四五,20071212,
002196.SZ,002196,方正电机,20071212,
002197.SZ,002197,证通电子,20071218,
002198.SZ,002198,嘉应制药,20071218,
002199.SZ,002199,东晶电子,20071221,
002200.SZ,002200,云投生态,20071221,
002201.SZ,002201,九鼎新材,20071226,
002202.SZ,002202,金风科技,20071226,
002203.SZ,002203,海亮股份,20080116,
002204.SZ,002204,大连重工,20080116,
002205.SZ,002205,国统股份,20080123,
002206.SZ,002206,海利得,20080123,
002207.SZ,002207,准油股份,20080128,
002208.SZ,002208,合肥城建,20080128,
002209.SZ,002209,达意隆,20080130,
002210.SZ,002210,飞马国际,20080130,
002211.SZ,002211,宏达新材,20080201,
002212.SZ,002212,南洋股份,20080201,
002213.SZ,002213,特尔佳,20080201,
002214.SZ,002214,大立科技,20080218,
002215.SZ,002215,诺普信,20080218,
002216.SZ,002216,三全食品,20080220,
002217.SZ,002217,合力泰,20080220,
002218.SZ,002218,拓日新能,20080228,
002219.SZ,002219,恒康医疗,20080306,
002220.SZ,002220,天宝股份,20080228,
002221.SZ,002221,东华能源,20080306,
002222.SZ,002222,福晶科技,20080319,
002223.SZ,002223,鱼跃医疗,20080418,
002224.SZ,002224,三力士,20080425,
002225.SZ,002225,濮耐股份,20080425,
002226.SZ,002226,江南化工,20080506,
002227.SZ,002227,奥特迅,20080506,
002228.SZ,002228,合兴包装,20080508,
002229.SZ,002229,鸿博股份,20080508,
002230.SZ,002230,科大讯飞,20080512,
002231.SZ,002231,奥维通信,20080512,
002232.SZ,002232,启明信息,20080509,
002233.SZ,002233,塔牌集团,20080516,
002234.SZ,002234,民和股份,20080516,
002235.SZ,002235,安妮股份,20080516,
002236.SZ,002236,大华股份,20080520,
002237.SZ,002237,恒邦股份,20080520,
002238.SZ,002238,天威视讯,20080526,
002239.SZ,002239,奥特佳,20080522,
002240.SZ,002240,威华股份,20080523,
002241.SZ,002241,歌尔股份,20080522,
002242.SZ,002242,九阳股份,20080528,
002243.SZ,002243,通产丽星,20080528,
002244.SZ,002244,滨江集团,20080529,
002245.SZ,002245,澳洋顺昌,20080605,
002246.SZ,002246,北化股份,20080605,
002247.SZ,002247,帝龙文化,20080612,
002248.SZ,002248,华东数控,20080612,
002249.SZ,002249,大洋电机,20080619,
002250.SZ,002250,联化科技,20080619,
002251.SZ,002251,步步高,20080619,
002252.SZ,002252,上海莱士,20080623,
002253.SZ,002253,川大智胜,20080623,
002254.SZ,002254,泰和新材,20080625,
002255.SZ,002255,海陆重工,20080625,
002256.SZ,002256,兆新股份,20080625,
002257.SZ,002257,立立电子(IPO终止),,
002258.SZ,002258,利尔化学,20080708,
002259.SZ,002259,升达林业,20080716,
002260.SZ,002260,德奥通航,20080716,
002261.SZ,002261,拓维信息,20080723,
002262.SZ,002262,恩华药业,20080723,
002263.SZ,002263,大东南,20080728,
002264.SZ,002264,新华都,20080731,
002265.SZ,002265,西仪股份,20080806,
002266.SZ,002266,浙富控股,20080806,
